學院,系所名稱,代碼
文學院,中國文學系碩士班,151
文學院,歷史學系碩士班,153
文學院,哲學系碩士班,154
文學院,圖書資訊與檔案學研究所,155
文學院,宗教研究所,156
文學院,台灣史研究所,158
文學院,台灣文學研究所,159
文學院,華語文教學碩士學位學程,161
文學院,國文教學碩士在職專班,912
文學院,圖書資訊學數位碩士在職專班,913
社會科學學院,政治學系碩士班,252
社會科學學院,社會學系碩士班,254
社會科學學院,財政學系碩士班,255
社會科學學院,公共行政學系碩士班,256
社會科學學院,地政學系碩士班,257
社會科學學院,經濟學系碩士班,258
社會科學學院,民族學系碩士班,259
社會科學學院,國家發展研究所,261
社會科學學院,勞工研究所,262
社會科學學院,社會工作研究所,264
社會科學學院,應用經濟與社會發展英語碩士學位學程,266
社會科學學院,土地政策與環境規劃碩士原住民專班,267
社會科學學院,行政管理碩士學程,921
社會科學學院,地政學系碩士在職專班,923
社會科學學院,亞太研究英語碩士學位學程,926
商學院,國際經營與貿易學系碩士班,351
商學院,金融學系碩士班,352
商學院,會計學系碩士班,353
商學院,統計學系碩士班,354
商學院,資訊管理學系碩士班,356
商學院,財務管理學系碩士班,357
商學院,風險管理與保險學系碩士班,358
商學院,企業管理研究所（MBA）,363
商學院,科技管理與智慧財產研究所,364
商學院,國際經營管理英語碩士學位學程（IMBA）,933
傳播學院,國際傳播英語碩士學位學程,461
傳播學院,數位內容碩士學位學程,462
傳播學院,傳播學院傳播碩士學位學程,464
傳播學院,傳播學院碩士在職專班,465
傳播學院,亞際文化研究國際碩士學位學程,941
外國語文學院,英國語文學系碩士班,551
外國語文學院,斯拉夫語文學系碩士班,554
外國語文學院,語言學研究所,555
外國語文學院,日本語文學系碩士班,556
外國語文學院,韓國語文學系碩士班,557
外國語文學院,中東與中亞研究碩士學位學程,560
理學院,應用數學系碩士班,751
理學院,心理學系碩士班,752
理學院,神經科學研究所,754
理學院,應用物理研究所,755
國際事務學院,外交學系碩士班,253
國際事務學院,東亞研究,260
國際事務學院,俄羅斯研究所,263
國際事務學院,日本研究碩士學位學程,861
國際事務學院,國際研究英語碩士學位學程,862
國際事務學院,外交學系戰略與國際事務碩士在職專班,922
國際事務學院,國家安全與大陸研究碩士在職專班,981
教育學院,教育學系碩士班,152
教育學院,幼兒教育研究所,157
教育學院,教育行政與政策研究所,171
教育學院,輔導與諮商碩士學位學程,172
教育學院,學校行政碩士在職專班,911
創新國際學院,全球傳播與創新科技碩士學位學程,ZM1
資訊學院,資訊科學系碩士班,753
資訊學院,資訊安全碩士學位學程,791
資訊學院,資訊科學系碩士在職專班,971
