id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1061001,民事訴訟法,姜世明、許政賢,6,D|5|6,3,True,False,961006001,法碩專班,False
1061002,法學科際整合導論（一）,王立達,6,G,0,False,False,961008001,法碩專班,False
1061003,刑法總則,陳志輝,6,D|5|6,3,True,False,961011001,法碩專班,False
1061004,民法總則,吳瑾瑜、周伯峰,4,F|G|H,3,True,False,961012001,法碩專班,False
1061005,憲法,林佳和,5,F|G|H,3,True,False,961013001,法碩專班,False
1061006,法學導論,江玉林、陳起行,6,2|3|4,3,True,False,961014001,法碩專班,False
1061007,民法債編各論,王千維、楊淑文,6,2|3|4,3,True,False,961015001,法碩專班,False
1061008,智慧財產權法專題研究,沈宗倫、熊誦梅,2,F|G|H,3,False,False,961038001,法碩專班,False
1061009,侵權行為法專題研究,楊芳賢,2,F|G|H,3,False,False,961041001,法碩專班,False
1061010,公司法,林國全,5,F|G|H,3,True,False,961042001,法碩專班,False
1061011,財產與電腦犯罪,李聖傑,3,F|G|H,3,False,False,961052001,法碩專班,False
1061012,證券交易法,林國全,4,F|G|H,3,False,False,961055001,法碩專班,False
1061013,國際法專題研究,許耀明、陳貞如,4,F|G|H,3,False,False,961056001,法碩專班,False
1061014,論文寫作與研究方法,江玉林、許政賢,0,,2,False,False,961058005,法碩專班,True
1061015,醫事刑法專題研究,李聖傑、林萍章、陳子平,0,,2,False,False,961072005,法碩專班,True
1061016,保險判決案例分析,葉啟洲,1,F|G|H,3,False,False,961076001,法碩專班,False
1061017,家事事件法專題研究,姜世明、劉明生,0,,2,False,False,961086005,法碩專班,True
1061018,環境法專題研究,許耀明、陳貞如,0,,2,False,False,961088005,法碩專班,True
1061019,產業與競爭法專題研究,王立達,1,F|G,2,False,False,961092001,法碩專班,False
1061020,中國大陸刑法,陳志輝,0,,2,False,False,961102005,法碩專班,True
1061021,行政法專題研究：個人資料保護法,劉定基,0,,1,False,False,961104005,法碩專班,True
1061022,金融消費者保護法專題研究（三）,張冠群,0,,1,False,False,961105005,法碩專班,True
1061023,兩岸經貿法制與實務專題研究（三）,王文杰、劉德勳,0,,2,False,False,961106005,法碩專班,True
1061024,證據法專題研究,姜世明、劉明生,3,F|G|H,3,False,False,961107001,法碩專班,False
1061025,法學英文（三）,朱德芳、張冠群,3,F|G|H,3,False,False,961108001,法碩專班,False
1061026,行政救濟法專題研究（一）,劉宗德,5,F|G|H,3,False,False,961109001,法碩專班,False
1061027,租稅實務與法理論,吳秦雯,0,,2,False,False,961110005,法碩專班,True
1061028,家事事件法專題研究 （二）,姜世明、劉明生,0,,2,False,False,961111005,法碩專班,True
1061029,勞社法理論與實務,郭明政、黃程貫,0,,2,False,False,961112005,法碩專班,True
1061030,環境法專題研究（一）,許耀明、陳貞如,0,,2,False,False,961113005,法碩專班,True
1061031,身分法 （二）,陳惠馨,2,F|G,2,False,False,961114001,法碩專班,False
1061032,金融科技法制與監理,臧正運,6,3|4,2,False,False,961115001,法碩專班,False
1061033,保險判決案例分析（一）,葉啟洲,1,F|G|H,3,False,False,961116001,法碩專班,False
1061034,法令遵循（二）,楊雲驊,6,7|8|E,3,False,False,961117001,法碩專班,False
1061101,德文法學名著選讀（一）,楊雲驊,4,6|7|8,3,False,True,651005001,法律系碩士班,False
1061102,日文法學名著選讀（三）,劉宗德,5,6|7|8,3,False,True,651017001,法律系碩士班,False
1061103,日文法學名著選讀（一）,林國全,4,2|3|4,3,False,True,651019001,法律系碩士班,False
1061104,法理學專題研究（三）,陳起行,3,2|3|4,3,False,False,651048001,法律系碩士班,False
1061105,智慧財產權法專題研究（三）,沈宗倫,3,3|4,2,False,False,651062001,法律系碩士班,False
1061106,比較憲法專題研究（二）,蘇永欽,2,F|G,2,False,False,651072001,法律系碩士班,False
1061107,英文法學名著選讀（六）,朱德芳、陳建霖、劉承愚,2,5|6|7,3,False,True,651082001,法律系碩士班,False
1061108,法社會學專題研究（一）,大衛恩格爾、王曉丹,1,7|8|E,3,False,False,651120001,法律系碩士班,False
1061109,法制史專題研究（四）,陳惠馨,4,7|8,2,False,False,651166001,法律系碩士班,False
1061110,行政法專題研究（一）,林佳和,3,7|8,2,False,False,651169001,法律系碩士班,False
1061111,日文法學名著選讀（二）,劉宗德,5,6|7|8,3,False,True,651171001,法律系碩士班,False
1061112,身分法專題研究（二）,林秀雄,5,5|6,2,False,False,651219001,法律系碩士班,False
1061113,契約法專題研究（二）,楊淑文,2,5|6,2,False,False,651232001,法律系碩士班,False
1061114,國際公法專題研究（二）,陳貞如,4,7|8,2,False,False,651249001,法律系碩士班,False
1061115,刑法專題研究（一）,井田良、李聖傑,3,3|4,2,False,False,651276001,法律系碩士班,False
1061116,刑事訴訟法專題研究（四）,段重民,1,6|7,2,False,False,651290001,法律系碩士班,False
1061117,超國界法律問題專題研究（二）,陳長文,2,8|E,2,False,False,651315001,法律系碩士班,False
1061118,刑事證據法專題研究（一）,楊雲驊,5,1|2,2,False,False,651330001,法律系碩士班,False
1061119,民事訴訟法專題研究（三）,姜世明,4,3|4,2,False,False,651338001,法律系碩士班,False
1061120,福利服務與社會救助法專題研究（一）,孫迺翊,3,3|4,2,False,False,651344001,法律系碩士班,False
1061121,金融法專題研究（五）,張冠群,5,3|4,2,False,False,651353001,法律系碩士班,False
1061122,刑事政策專題研究（一）,謝如媛,3,5|6|7,3,False,False,651368001,法律系碩士班,False
1061123,集體勞動法專題研究（二）,林佳和,2,5|6,2,False,False,651371001,法律系碩士班,False
1061124,法文法學名著選讀（一）,吳秦雯,3,5|6|7,3,False,True,651386001,法律系碩士班,False
1061125,保險法專題研究（二）,林勳發,2,3|4,2,False,False,651392001,法律系碩士班,False
1061126,保險案例分析,葉啟洲,2,2|3|4,3,False,False,651399001,法律系碩士班,False
1061127,不當得利法專題研究（二）,王千維,2,3|4,2,False,False,651401001,法律系碩士班,False
1061128,英文公法學名著選讀（二）,劉定基,2,D|5|6,3,False,True,651423001,法律系碩士班,False
1061129,比較憲法專題研究（五）,廖元豪,4,5|6,2,False,False,651455001,法律系碩士班,False
1061130,歐盟法專題研究（一）,許耀明,3,3|4,2,False,False,651530001,法律系碩士班,False
1061131,公法實務專題研究（三）,董保城,3,E|F,2,False,False,651536001,法律系碩士班,False
1061132,海洋法專題研究（二）,陳貞如,2,5|6,2,False,False,651545001,法律系碩士班,False
1061133,德國民事程序法專題,哥德華、劉明生,1,5|6,2,False,False,651561001,法律系碩士班,False
1061134,法律診療（一）－刑事案例實作演練,羅秉成,4,5|6,2,False,False,651562001,法律系碩士班,False
1061135,金融科技法制與監理專題（一）,臧正運,4,5|6,2,False,False,651563001,法律系碩士班,False
1061136,專利與競爭專題（二）,王立達,5,5|6,2,False,False,651564001,法律系碩士班,False
1061137,財法中心公益服務實習—責任投資可行性研究（一）,朱德芳,4,C,1,False,False,651565001,法律系碩士班,False
1061138,環境法（二）,傅玲靜,1,7|8,2,False,False,651566001,法律系碩士班,False
1061139,羅馬法文化中的德行與法律,陳起行,5,D|5|6,3,False,False,651567001,法律系碩士班,False
1061140,專題討論－生物科技管理實務,馮震宇、詳備註,4,F,1,False,False,651580001,法律系碩士班,False
1061141,營業秘密：法律與管理,馮震宇,3,D|5,2,False,False,651603001,法律系碩士班,False
1061142,財法中心公益服務實習—金融消費評議中心見習（一）,朱德芳,2,C|D,2,False,False,651646001,法律系碩士班,False
1061143,歐盟經貿法,洪德欽,4,E|F|G,3,False,False,651706001,法律系碩士班,False
1061144,民法中心公益服務實習（一）,周伯峰,4,C,1,False,False,651715001,法律系碩士班,False
1061145,公司法案例研習,朱德芳、許政賢,5,5|6,2,False,False,651728001,法律系碩士班,False
1061146,國際人權法,翁燕菁,4,D|5|6,3,False,False,651731001,法律系碩士班,False
1061147,公法中心公益服務實習（四）,傅玲靜,1,E,1,False,False,651743001,法律系碩士班,False
1061148,勞社法中心公益服務實習（一）,孫迺翊,1,2,1,False,False,651745001,法律系碩士班,False
1061149,刑法中心公益服務實習（三）,李聖傑,1,2,1,False,False,651756001,法律系碩士班,False
1061150,公法中心公益服務實習（三）,劉定基,1,2,1,False,False,651759001,法律系碩士班,False
1061151,中國大陸公司法研究（一）,王文杰,3,3|4,2,False,False,651853001,法律系碩士班,False
1061152,國際法實例研習（一）,陳純一,1,F,1,False,False,651950001,法律系碩士班,False
1061201,企業併購實例研習（二）,方嘉麟、林進富、樓永堅,5,5|6|7,3,False,False,652075001,法科所,False
1061202,民法,呂彥彬、周伯峰,2,3|4,4,False,False,652099001,法科所,False
1061203,刑法,李聖傑,2,D|5|6,3,False,False,652100001,法科所,False
1061204,行政法,劉宗德,4,7|8|E,3,False,False,652101001,法科所,False
1061205,民事訴訟法,姜世明,2,7|8|E,3,False,False,652102001,法科所,False
1061206,法學導論,江玉林,4,5|6,2,True,False,652120001,法科所,False
1061207,金融與法律（一）,詹庭禎,3,7|8,2,False,False,652123001,法科所,False
1061208,國際私法,王海南,2,D|5|6,3,False,False,652137001,法科所,False
1061209,證券交易法,劉連煜,5,3|4,2,False,False,652150001,法科所,False
1061210,勞動法,黃程貫,3,D|5|6,3,False,False,652151001,法科所,False
1061211,勞動與法律（一）,林良榮,5,2|3|4,3,False,False,652152001,法科所,False
1061212,法律倫理,劉宏恩,4,5|6,2,False,False,652155001,法科所,False
1061213,法律倫理,姜世明,4,5|6,2,False,False,652155011,法科所,False
1061214,法律服務,許政賢,1,C,2,False,False,652160001,法科所,False
1061215,國際公法,陳純一,1,7|8|E,3,False,False,652163001,法科所,False
1061216,票據法,顏玉明,4,3|4,2,False,False,652167001,法科所,False
1061217,票據法,王立達,4,3|4,2,False,False,652167011,法科所,False
1061218,智慧財產權法總論,馮震宇,3,3|4,2,False,False,652168001,法科所,False
1061219,民事訴訟法（一）,許政賢,2,2|3|4,3,False,False,652169001,法科所,False
1061220,民事訴訟法（一）,劉明生,2,2|3|4,3,False,False,652169011,法科所,False
1061221,民事訴訟法（一）,姜世明,2,2|3|4,3,False,False,652169021,法科所,False
1061222,刑事訴訟法（二）,楊雲驊,5,3|4,2,False,False,652170001,法科所,False
1061223,公法綜合研習,詹鎮榮,1,5|6,2,False,False,652173001,法科所,False
1061224,商事法總論與公司法,林國全,5,2|3|4,3,False,False,652174001,法科所,False
1061225,商事法總論與公司法,朱德芳,5,2|3|4,3,False,False,652174011,法科所,False
1061226,商事法總論與公司法,方嘉麟,5,2|3|4,3,False,False,652174021,法科所,False
1061227,非訟程序,劉明生,3,5|6,2,False,False,652175001,法科所,False
1061228,土地、環境與法律（一）,黃立,1,7|8,2,False,False,652176001,法科所,False
1061229,民事法綜合研習,楊淑文,3,3|4,2,False,False,652178001,法科所,False
1061230,美國專利法與實務,宋皇志,4,2|3|4,3,False,False,652880001,法科所,False
1061231,政治與法律（一）,林佳和,1,5|6,2,False,False,652881001,法科所,False
1061232,臨終死亡的倫理與法律議題（一）,劉宏恩,3,5|6,2,False,False,652882001,法科所,False
1061233,歐盟經貿法,洪德欽,4,E|F|G,3,False,False,652892001,法科所,False
1061234,地方自治法,孫迺翊,2,7|8,2,False,False,652903001,法科所,False
1061235,專利法,沈宗倫,3,5|6,2,False,False,652931001,法科所,False
1061236,營建工程法律專題研究（一）,顏玉明,1,5|6,2,False,False,652934001,法科所,False
1061237,智慧財產權法,馮震宇,4,D|5|6,3,False,False,652950001,法科所,False
1062001,國際商事法專題研究,許耀明,3,F|G|H,3,False,False,961002001,法碩專班,False
1062002,行政法,劉宗德,6,D|5|6,3,True,False,961020001,法碩專班,False
1062003,民法債編總論,王千維、楊淑文,1,F|G|H,3,True,False,961021001,法碩專班,False
1062004,物權法,吳瑾瑜、陳洸岳,5,F|G|H,3,True,False,961022001,法碩專班,False
1062005,刑法分則,李聖傑,6,2|3|4,3,True,False,961023001,法碩專班,False
1062006,刑事訴訟法,楊雲驊,5,F|G|H,3,True,False,961024001,法碩專班,False
1062007,勞社法導論,林良榮、郭明政,6,D|5|6,3,True,False,961025001,法碩專班,False
1062008,企業併購法專題研究,朱德芳、陳泰明、劉連煜,2,F|G|H,3,False,False,961028001,法碩專班,False
1062009,法學科際整合導論（二）,王立達,6,H,0,False,False,961030001,法碩專班,False
1062010,保險法專題研究,張冠群,4,F|G|H,3,False,False,961040001,法碩專班,False
1062011,中國大陸投資法律制度與實務,王文杰,2,F|G|H,3,False,False,961047001,法碩專班,False
1062012,勞動法,林佳和,1,F|G|H,3,False,False,961060001,法碩專班,False
1062013,海洋法專題研究,陳貞如,4,F|G|H,3,False,False,961066001,法碩專班,False
1062014,政府採購法專題研究,顏玉明,1,F|G|H,3,False,False,961068001,法碩專班,False
1062015,爭議案件與法律解釋方法,江玉林,6,2|3|4,3,False,False,961079001,法碩專班,False
1062016,強制執行法專題研究,劉明生,3,F|G|H,3,False,False,961090001,法碩專班,False
1062017,損害賠償法專題研究,葉啟洲,3,F|G|H,3,False,False,961095001,法碩專班,False
1062018,租稅法,傅玲靜,2,F|G|H,3,False,False,961100001,法碩專班,False
1062019,法律與文化專題研究─脈絡中的法律,陳惠馨,2,F|G,2,False,False,961118001,法碩專班,False
1062020,歐美比較智慧財產權法專題研究,沈宗倫、熊誦梅,5,F|G|H,3,False,False,961119001,法碩專班,False
1062021,貪汙犯罪與風險刑法,許恒達,4,F|G|H,3,False,False,961120001,法碩專班,False
1062022,公私協力法,詹鎮榮,3,F|G|H,3,False,False,961121001,法碩專班,False
1062023,法學思維與刑法（二）,陳志輝,6,D|5|6,3,False,False,961122001,法碩專班,False
1062024,損害賠償法專題研究（一）,葉啟洲,3,F|G|H,3,False,False,961123001,法碩專班,False
